home_team,away_team,match_date,round_number,match_stadium,home_logo,away_logo
El bicho,ihefu,2024-08-16 14:00:00+00:00,1,estadio de bicho,/media/teamlogo/pixlr-image-generator-ee33d5f7-1541-44f4-953e-d824da0d9757.png,/media/logo2.png
talent fc,simba,2024-08-19 14:00:00+00:00,1,zone stadium,/media/logo2.png,/media/logo2.png
JKU,yanga,2024-08-20 15:30:00+00:00,1,Amani Stadium,/media/logo2.png,/media/logo2.png
JKU,mango fc,2024-08-25 18:00:00+00:00,1,Amani Stadium,/media/logo2.png,/media/logo2.png
El bicho,talent fc,2024-08-25 14:00:00+00:00,2,estadio de bicho,/media/teamlogo/pixlr-image-generator-ee33d5f7-1541-44f4-953e-d824da0d9757.png,/media/logo2.png
ihefu,JKU,2024-09-01 15:30:00+00:00,2,ihefu complex,/media/logo2.png,/media/logo2.png
simba,JKU,2024-09-03 14:00:00+00:00,2,benjamin mkapa,/media/logo2.png,/media/logo2.png
yanga,mango fc,2024-09-15 18:00:00+00:00,2,benjamin mkapa,/media/logo2.png,/media/logo2.png
JKU,talent fc,2024-09-17 18:00:00+00:00,3,Amani Stadium,/media/logo2.png,/media/logo2.png
JKU,El bicho,2024-09-22 14:00:00+00:00,3,Amani Stadium,/media/logo2.png,/media/teamlogo/pixlr-image-generator-ee33d5f7-1541-44f4-953e-d824da0d9757.png
mango fc,ihefu,2024-09-24 18:00:00+00:00,3,mango complex,/media/logo2.png,/media/logo2.png
yanga,simba,2024-09-30 15:30:00+00:00,3,benjamin mkapa,/media/logo2.png,/media/logo2.png
JKU,JKU,2024-10-07 14:00:00+00:00,4,Amani Stadium,/media/logo2.png,/media/logo2.png
talent fc,mango fc,2024-10-20 15:30:00+00:00,4,zone stadium,/media/logo2.png,/media/logo2.png
El bicho,yanga,2024-10-20 15:30:00+00:00,4,estadio de bicho,/media/teamlogo/pixlr-image-generator-ee33d5f7-1541-44f4-953e-d824da0d9757.png,/media/logo2.png
ihefu,simba,2024-10-27 14:00:00+00:00,4,ihefu complex,/media/logo2.png,/media/logo2.png
mango fc,JKU,2024-10-29 18:00:00+00:00,5,mango complex,/media/logo2.png,/media/logo2.png
yanga,JKU,2024-11-03 16:00:00+00:00,5,benjamin mkapa,/media/logo2.png,/media/logo2.png
simba,talent fc,2024-11-05 16:00:00+00:00,5,benjamin mkapa,/media/logo2.png,/media/logo2.png
ihefu,El bicho,2024-11-10 15:30:00+00:00,5,ihefu complex,/media/logo2.png,/media/teamlogo/pixlr-image-generator-ee33d5f7-1541-44f4-953e-d824da0d9757.png
mango fc,yanga,2024-11-12 14:00:00+00:00,6,mango complex,/media/logo2.png,/media/logo2.png
JKU,simba,2024-11-24 18:00:00+00:00,6,Amani Stadium,/media/logo2.png,/media/logo2.png
JKU,ihefu,2024-11-26 18:00:00+00:00,6,Amani Stadium,/media/logo2.png,/media/logo2.png
talent fc,El bicho,2024-12-01 14:00:00+00:00,6,zone stadium,/media/logo2.png,/media/teamlogo/pixlr-image-generator-ee33d5f7-1541-44f4-953e-d824da0d9757.png
simba,yanga,2024-12-04 18:00:00+00:00,7,benjamin mkapa,/media/logo2.png,/media/logo2.png
ihefu,mango fc,2024-12-08 14:00:00+00:00,7,ihefu complex,/media/logo2.png,/media/logo2.png
El bicho,JKU,2024-12-08 15:30:00+00:00,7,estadio de bicho,/media/teamlogo/pixlr-image-generator-ee33d5f7-1541-44f4-953e-d824da0d9757.png,/media/logo2.png
talent fc,JKU,2024-12-15 15:30:00+00:00,7,zone stadium,/media/logo2.png,/media/logo2.png
simba,ihefu,2024-12-17 14:00:00+00:00,8,benjamin mkapa,/media/logo2.png,/media/logo2.png
yanga,El bicho,2024-12-22 16:00:00+00:00,8,benjamin mkapa,/media/logo2.png,/media/teamlogo/pixlr-image-generator-ee33d5f7-1541-44f4-953e-d824da0d9757.png
mango fc,talent fc,2024-12-24 14:00:00+00:00,8,mango complex,/media/logo2.png,/media/logo2.png
JKU,JKU,2024-12-30 18:00:00+00:00,8,Amani Stadium,/media/logo2.png,/media/logo2.png
El bicho,ihefu,2025-01-03 16:00:00+00:00,9,estadio de bicho,/media/teamlogo/pixlr-image-generator-ee33d5f7-1541-44f4-953e-d824da0d9757.png,/media/logo2.png
talent fc,simba,2025-01-06 15:30:00+00:00,9,zone stadium,/media/logo2.png,/media/logo2.png
JKU,yanga,2025-01-07 16:00:00+00:00,9,Amani Stadium,/media/logo2.png,/media/logo2.png
JKU,mango fc,2025-01-12 14:00:00+00:00,9,Amani Stadium,/media/logo2.png,/media/logo2.png
El bicho,talent fc,2025-01-12 14:00:00+00:00,10,estadio de bicho,/media/teamlogo/pixlr-image-generator-ee33d5f7-1541-44f4-953e-d824da0d9757.png,/media/logo2.png
ihefu,JKU,2025-01-19 15:30:00+00:00,10,ihefu complex,/media/logo2.png,/media/logo2.png
